date,Mahalle,total_time_in_neigh_sec,total_dist_in_neigh_km,total_idle_in_neigh_sec,total_stop_in_neigh_sec,total_points,vehicles_served,total_time_in_neigh_hr,total_idle_in_neigh_hr,total_stop_in_neigh_hr
2025-12-19,19 Mayıs Mh.,22579.0,50625.19,21167.0,21167.0,1636,4,6.271944444444444,5.879722222222222,5.879722222222222
2025-12-19,23 Nisan Mh.,9818.0,93854.34,6231.0,6231.0,1217,39,2.727222222222222,1.7308333333333332,1.7308333333333332
2025-12-19,29 Ekim Mh.,19460.0,49190.31,16968.0,22259.0,1261,20,5.405555555555556,4.713333333333333,6.183055555555556
2025-12-19,30 Ağustos Zafer Mh.,35844.0,55041.32,36209.0,36209.0,1610,9,9.956666666666667,10.058055555555555,10.058055555555555
2025-12-19,Ahmet Yesevi Mh.,10662.0,79968.67,4005.0,5869.0,1181,39,2.9616666666666664,1.1125,1.6302777777777777
2025-12-19,Akçalar Mh.,17551.0,110566.64,15492.0,15492.0,1326,2,4.875277777777778,4.303333333333334,4.303333333333334
2025-12-19,Alaaddinbey Mh.,1277398.0,736505.5,35558042.0,147260815.0,14811,42,354.8327777777778,9877.233888888888,40905.78194444445
2025-12-19,Altınşehir Mh.,15218.0,41394.84,16507.0,17214.0,939,11,4.227222222222222,4.585277777777778,4.781666666666666
2025-12-19,Ataevler Mh.,7767.0,47719.85,4830.0,5403.0,786,23,2.1575,1.3416666666666666,1.5008333333333332
2025-12-19,Atlas Mahallesi,3.0,60.15,0.0,0.0,3,1,0.0008333333333333334,0.0,0.0
2025-12-19,Atlas Mh.,4046.0,31503.8,2476.0,17245.0,1877,1,1.123888888888889,0.6877777777777778,4.790277777777778
2025-12-19,Ayvaköy Mahallesi,8.0,54.35,0.0,0.0,1,1,0.0022222222222222222,0.0,0.0
2025-12-19,Ayvaköy Mh.,948.0,4048.7200000000003,568.0,568.0,76,1,0.2633333333333333,0.15777777777777777,0.15777777777777777
2025-12-19,Balat Mh.,21406.0,176066.41,18690.0,19526.0,2605,39,5.946111111111111,5.191666666666666,5.4238888888888885
2025-12-19,Balat OSB Mh.,3183.0,36508.89,86.0,429.0,468,38,0.8841666666666667,0.02388888888888889,0.11916666666666667
2025-12-19,Balkan Mh.,13318.0,92916.08,13380.0,32427.0,2856,7,3.6994444444444445,3.716666666666667,9.0075
