date,vehicle_id,Mahalle,time_in_neigh_sec,dist_in_neigh_km,idle_in_neigh_sec,stop_in_neigh_sec,points
2025-12-19,1409,Alaaddinbey Mh.,43000.0,3.25,491.0,2644060.0,170
2025-12-19,1434,23 Nisan Mh.,121.0,1679.02,0.0,0.0,18
2025-12-19,1434,Ahmet Yesevi Mh.,157.0,990.82,0.0,0.0,18
2025-12-19,1434,Alaaddinbey Mh.,22960.0,5760.28,986960.0,986960.0,133
2025-12-19,1434,Ataevler Mh.,171.0,2011.74,14.0,14.0,21
2025-12-19,1434,Balat Mh.,191.0,1148.6200000000001,0.0,0.0,21
2025-12-19,1434,Balat OSB Mh.,129.0,1061.56,0.0,0.0,15
2025-12-19,1434,Beşevler Mh.,277.0,881.0899999999999,11.0,11.0,36
2025-12-19,1434,Demirci Mh.,275.0,1355.09,93.0,93.0,36
2025-12-19,1434,Esentepe Mh.,641.0,1913.43,97.0,97.0,39
2025-12-19,1434,Fethiye Mh.,366.0,1377.36,0.0,0.0,19
2025-12-19,1434,Fethiye OSB Mh.,475.0,5394.4,79.0,79.0,63
2025-12-19,1434,Geçit Mh.,1708.0,11605.37,23.0,23.0,182
2025-12-19,1434,Işıktepe Mh.,50.0,1153.93,0.0,0.0,13
2025-12-19,1434,Işıktepe OSB Mh.,178.0,2807.87,115.0,115.0,29
2025-12-19,1434,Karaman Mh.,4042.0,6131.75,4936.0,4936.0,126
2025-12-19,1434,Konak Mh.,70.0,85.0,0.0,0.0,12
2025-12-19,1434,Minareliçavuş Bursa OSB Mh.,61.0,653.31,0.0,0.0,9
2025-12-19,1434,Nilüferköy Mh.,170.0,1959.08,0.0,0.0,37
2025-12-19,1434,Odunluk Mh.,12581.0,5719.69,21771.0,21771.0,434
2025-12-19,1434,Yenikent Mh.,3098.0,18568.01,1976.0,1976.0,305
2025-12-19,1434,Üçevler Mh.,17077.0,106175.76,18747.0,18747.0,1112
2025-12-19,1434,İhsaniye Mh.,69.0,506.55,0.0,0.0,10
2025-12-19,1488,23 Nisan Mh.,72.0,2656.13,0.0,0.0,12
2025-12-19,1488,Ahmet Yesevi Mh.,70.0,1923.6,0.0,0.0,9
2025-12-19,1488,Alaaddinbey Mh.,24982.0,14871.01,1042.0,1675580.0,117
