SIRA NO;MAHALLE;YERALTI KONTEYNER;770 LT KONTEYNER;400 LT KONTEYNER;PLASTİK;TOPLAM
1;100. YIL ;124;30;120;;274
2;19 MAYIS;;;455;288;743
3;23 NİSAN;93;8;488;16;605
4;29 EKİM;95;50;586;14;745
5;30 AĞUSTOS ZAFER ;12;2;366;10;390
6;AHMET YESEVİ;;;135;235;370
7;AKÇALAR;1;11;508;34;554
8;ALAADDİNBEY;;6;268;121;395
9;ALTINŞEHİR;124;;287;1.300;1.711
10;ATAEVLER;39;57;810;10;916
11;ATLAS;;;105;5;110
12;AYVA;;;13;;13
13;BADIRGA;;;76;2;78
14;BALAT;72;28;694;196;990
15;BALKAN;45;84;664;33;826
16;BARIŞ;3;;335;13;351
17;BAŞKÖY;;;55;;55
18;BEŞEVLER;2;8;863;218;1.091
19;BÜYÜKBALIKLI;;;100;;100
20;CUMHURİYET;;1;1.130;5;1.136
21;ÇALI;1;10;652;142;805
22;ÇAMLICA;;2;793;1.312;2.107
23;ÇATALAĞIL;;;42;9;51
24;ÇAYLI;;;47;;47
25;DAĞYENİCE;;2;91;45;138
26;DEMİRCİ;2;;452;94;548
27;DOĞANKÖY;;7;110;70;187
28;DUMLUPINAR;;133;1.174;6;1.313
29;ERTUĞRUL;91;5;320;;416
30;ESENTEPE;;4;361;397;762
31;FADILLI;;;86;5;91
32;FETHİYE;;;520;460;980
33;GELEMİT;;;14;;14
34;GÖKÇE;;;95;;95
35;GÖLYAZI;;;YER ÇÖPÜ;YER ÇÖPÜ;0
36;GÖRÜKLE;;219;613;9;841
37;GÜMÜŞTEPE;;1;315;163;479
38;GÜNGÖREN;;;68;;68
39;HASANAĞA;8;;183;33;224
40;IŞIKTEPE;;;29;670;699
41;İHSANİYE;3;8;914;371;1.296
42;İNEGAZİ;;;22;;22
43;İRFANİYE;;;164;;164
44;KADRİYE;;;25;;25
45;KARACAOBA;;;81;;81
46;KARAMAN;;;290;2.124;2.414
47;KAYAPA;;10;240;85;335
48;KIZILCIKLI;26;40;400;20;486
49;KORUBAŞI;;;23;;23
50;KONAK;;8;866;488;1.362
51;KONAKLI;;;122;3;125
52;KURUÇEŞME;;;15;;15
53;KURTULUŞ;;1;199;;200
54;KÜLTÜR;;10;546;306;862
55;MAKSEMPINAR;;;42;5;47
56;MİNARELİÇAVUŞ;;5;216;400;621
57;ODUNLUK;;97;524;401;1.022
58;ÖZLÜCE;;7;231;38;276
59;TAHTALI;;;92;16;108
60;UNÇUKURU;;;50;3;53
61;ÜÇEVLER;1;16;641;1.932;2.590
62;ÜÇPINAR;;;20;1;21
63;ÜRÜNLÜ;1;8;285;64;358
64;YAYLACIK;;5;201;179;385
65;YOLÇATI;;8;116;915;1.039
