date,weekday_tr,Mahalle,crane_needed,garbage_truck_type,days_collected_per_week,collection_frequency,Mahalle_norm,demand_score
2025-12-19,Cuma,19 MAYIS MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",19 MAYIS,0.42963024685607676
2025-12-19,Cuma,30 AĞUSTOS MAHALLESİ,1,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",30 AGUSTOS,0.0
2025-12-19,Cuma,AKÇALAR MAHALLESİ,1,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",AKCALAR,0.4453968508843078
2025-12-19,Cuma,ALAADİNBEY MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",ALAADINBEY,0.0
2025-12-19,Cuma,ATLAS MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",ATLAS,0.11498617127682799
2025-12-19,Cuma,BADIRGA MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",BADIRGA,0.09499995046541938
2025-12-19,Cuma,BARIŞ MAHALLESİ,1,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",BARIS,0.4080997581514307
2025-12-19,Cuma,BAŞKÖY MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",BASKOY,0.08563305801650267
2025-12-19,Cuma,BÜYÜKBALIKLI MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",BUYUKBALIKLI,0.13424473736071874
2025-12-19,Cuma,CUMHURİYET MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",CUMHURIYET,0.3060217267220619
2025-12-19,Cuma,ÇALI MAHALLESİ,1,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",CALI,0.7137262835145524
2025-12-19,Cuma,ÇATALAĞIL MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",CATALAGIL,0.05504053753965227
2025-12-19,Cuma,ÇAYLI MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",CAYLI,0.07640926694756242
2025-12-19,Cuma,DUMLUPINAR MAHALLESİ,0,Large Garbage Truck,7.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday, Sunday",DUMLUPINAR,0.5392034770574226
2025-12-19,Cuma,ERTUĞRUL MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",ERTUGRUL,0.4233317347956321
