date,vehicle_id,vehicle_type,Mahalle,demand_score,crane_needed
2025-12-19,2824,Large Garbage Truck,GÖRÜKLE MAHALLESİ,1.0,0
2025-12-19,4657,Crane Vehicle,ÇALI MAHALLESİ,0.7137262835145524,1
2025-12-19,7912,Small Garbage Truck,ÜÇEVLER MAHALLESİ,0.6828035790366359,0
2025-12-19,6574,Small Garbage Truck,ÜÇEVLER MAHALLESİ,0.6828035790366359,0
2025-12-19,1409,Large Garbage Truck,ÜÇEVLER MAHALLESİ,0.6828035790366359,0
2025-12-19,1409,Large Garbage Truck,ÜÇEVLER MAHALLESİ,0.6828035790366359,0
2025-12-19,6514,Small Garbage Truck,ESENTEPE MAHALLESİ,0.5986364207955122,0
2025-12-19,5333,Small Garbage Truck,ESENTEPE MAHALLESİ,0.5986364207955122,0
2025-12-19,5506,Large Garbage Truck,ESENTEPE MAHALLESİ,0.5986364207955122,0
2025-12-19,5506,Large Garbage Truck,ESENTEPE MAHALLESİ,0.5986364207955122,0
2025-12-19,4657,Crane Vehicle,İHSANİYE MAHALLESİ,0.5410099752796164,1
2025-12-19,5012,Large Garbage Truck,DUMLUPINAR MAHALLESİ,0.5392034770574226,0
2025-12-19,5012,Large Garbage Truck,FETHİYE MAHALLESİ,0.5132512884057444,0
2025-12-19,3286,Large Garbage Truck,KONAK MAHALLESİ,0.4687289515176173,0
2025-12-19,1520,Crane Vehicle,AKÇALAR MAHALLESİ,0.4453968508843078,1
2025-12-19,3286,Large Garbage Truck,19 MAYIS MAHALLESİ,0.4296302468560767,0
2025-12-19,2679,Large Garbage Truck,ERTUĞRUL MAHALLESİ,0.4233317347956321,0
2025-12-19,1520,Crane Vehicle,BARIŞ MAHALLESİ,0.4080997581514307,1
2025-12-19,2679,Large Garbage Truck,IŞIKTEPE MAHALLESİ,0.3904709660101533,0
2025-12-19,9935,Large Garbage Truck,CUMHURİYET MAHALLESİ,0.3060217267220619,0
2025-12-19,6514,Small Garbage Truck,GÜMÜŞTEPE MAHALLESİ,0.2742776003758373,0
2025-12-19,9935,Large Garbage Truck,YAYLACIK MAHALLESİ,0.2221983729755439,0
2025-12-19,9935,Large Garbage Truck,KAYAPA MAHALLESİ,0.2195420473092252,0
2025-12-19,9935,Large Garbage Truck,KARAMAN MAHALLESİ,0.2134097436145476,0
2025-12-19,2424,Large Garbage Truck,ÖZLÜCE MAHALLESİ,0.2071637331873661,0
2025-12-19,2424,Large Garbage Truck,ÜRÜNLÜ MAHALLESİ,0.19524637382572,0
2025-12-19,2424,Large Garbage Truck,ODUNLUK MAHALLESİ,0.1549739304936958,0
2025-12-19,5333,Small Garbage Truck,HASANAĞA MAHALLESİ,0.1376963364062833,0
2025-12-19,2424,Large Garbage Truck,BÜYÜKBALIKLI MAHALLESİ,0.1342447373607187,0
2025-12-19,2424,Large Garbage Truck,GÖKÇE MAHALLESİ,0.1183849600977331,0
2025-12-19,1488,Large Garbage Truck,ATLAS MAHALLESİ,0.1149861712768279,0
2025-12-19,1488,Large Garbage Truck,İRFANİYE MAHALLESİ,0.0977176369162517,0
2025-12-19,1488,Large Garbage Truck,BADIRGA MAHALLESİ,0.0949999504654193,0
2025-12-19,1488,Large Garbage Truck,KARACAOBA MAHALLESİ,0.0921311028403266,0
2025-12-19,1488,Large Garbage Truck,BAŞKÖY MAHALLESİ,0.0856330580165026,0
2025-12-19,1488,Large Garbage Truck,KONAKLI MAHALLESİ,0.0785591071688843,0
2025-12-19,1488,Large Garbage Truck,ÇAYLI MAHALLESİ,0.0764092669475624,0
2025-12-19,1488,Large Garbage Truck,TAHTALI MAHALLESİ,0.074666089312811,0
2025-12-19,1488,Large Garbage Truck,ÇATALAĞIL MAHALLESİ,0.0550405375396522,0
2025-12-19,1434,Large Garbage Truck,İNEGAZİ MAHALLESİ,0.0376557043472374,0
2025-12-19,1434,Large Garbage Truck,KADRİYE MAHALLESİ,0.0333507126703768,0
2025-12-19,1434,Large Garbage Truck,ÜÇPINAR MAHALLESİ,0.0268502620180491,0
2025-12-19,2535,Crane Vehicle,30 AĞUSTOS MAHALLESİ,0.0,1
2025-12-19,1434,Large Garbage Truck,ALAADİNBEY MAHALLESİ,0.0,0
2025-12-20,2824,Large Garbage Truck,GÖRÜKLE MAHALLESİ,1.0,0
2025-12-20,4657,Crane Vehicle,BALAT MAHALLESİ,0.8427955576149866,1
2025-12-20,1520,Crane Vehicle,ATAEVLER MAHALLESİ,0.7371619360251879,1
2025-12-20,1520,Crane Vehicle,BALKAN MAHALLESİ,0.7327681744354315,1
2025-12-20,2535,Crane Vehicle,23 NİSAN MAHALLESİ,0.6506293199795582,1
2025-12-20,7912,Small Garbage Truck,KÜLTÜR MAHALLESİ,0.6344961591410876,0
2025-12-20,1409,Large Garbage Truck,KÜLTÜR MAHALLESİ,0.6344961591410876,0
2025-12-20,1409,Large Garbage Truck,KÜLTÜR MAHALLESİ,0.6344961591410876,0
2025-12-20,6574,Small Garbage Truck,KÜLTÜR MAHALLESİ,0.6344961591410876,0
2025-12-20,6514,Small Garbage Truck,ESENTEPE MAHALLESİ,0.5986364207955122,0
2025-12-20,2535,Crane Vehicle,İHSANİYE MAHALLESİ,0.5410099752796164,1
2025-12-20,5506,Large Garbage Truck,DUMLUPINAR MAHALLESİ,0.5392034770574226,0
2025-12-20,4582,Crane Vehicle,DEMİRCİ MAHALLESİ,0.5383415719073583,1
2025-12-20,5506,Large Garbage Truck,FETHİYE MAHALLESİ,0.5132512884057444,0
2025-12-20,5012,Large Garbage Truck,KONAK MAHALLESİ,0.4687289515176173,0
2025-12-20,5012,Large Garbage Truck,MİNARELİÇAVUŞ MAHALLESİ,0.3833754682945864,0
2025-12-20,3286,Large Garbage Truck,AHMET YESEVİ MAHALLESİ,0.3401944179723152,0
2025-12-20,3286,Large Garbage Truck,ÇAMLICA MAHALLESİ,0.3279556666102943,0
2025-12-20,5333,Small Garbage Truck,GÜMÜŞTEPE MAHALLESİ,0.2742776003758373,0
2025-12-20,3286,Large Garbage Truck,KIZILCIKLI MAHALLESİ,0.2527762888390717,0
2025-12-20,2679,Large Garbage Truck,KURTULUŞ MAHALLESİ,0.2491487446301427,0
2025-12-20,2679,Large Garbage Truck,DOĞANKÖY MAHALLESİ,0.138985568603334,0
2025-12-20,2679,Large Garbage Truck,DAĞYENİCE MAHALLESİ,0.1386399038283848,0
2025-12-20,2679,Large Garbage Truck,HASANAĞA MAHALLESİ,0.1376963364062833,0
2025-12-20,2679,Large Garbage Truck,GÜNGÖREN MAHALLESİ,0.124078572120663,0
2025-12-20,9935,Large Garbage Truck,FADILLI MAHALLESİ,0.1123540475439963,0
2025-12-20,9935,Large Garbage Truck,YOLÇATI MAHALLESİ,0.1117944195414855,0
