date,vehicle_id,vehicle_type,Mahalle,demand_score,crane_needed
2025-12-19,2824,Large Garbage Truck,Görükle Mh.,1.0,0
2025-12-19,4657,Crane Vehicle,Çali Mh.,0.7137262835145524,1
2025-12-19,7912,Small Garbage Truck,Üçevler Mh.,0.6828035790366359,0
2025-12-19,6574,Small Garbage Truck,Üçevler Mh.,0.6828035790366359,0
2025-12-19,1409,Large Garbage Truck,Üçevler Mh.,0.6828035790366359,0
2025-12-19,1409,Large Garbage Truck,Üçevler Mh.,0.6828035790366359,0
2025-12-19,6514,Small Garbage Truck,Esentepe Mh.,0.5986364207955122,0
2025-12-19,5333,Small Garbage Truck,Esentepe Mh.,0.5986364207955122,0
2025-12-19,5506,Large Garbage Truck,Esentepe Mh.,0.5986364207955122,0
2025-12-19,5506,Large Garbage Truck,Esentepe Mh.,0.5986364207955122,0
2025-12-19,4657,Crane Vehicle,İhsani̇ye Mh.,0.5410099752796164,1
2025-12-19,5012,Large Garbage Truck,Dumlupinar Mh.,0.5392034770574226,0
2025-12-19,5012,Large Garbage Truck,Fethi̇ye Mh.,0.5132512884057444,0
2025-12-19,3286,Large Garbage Truck,Konak Mh.,0.4687289515176173,0
2025-12-19,1520,Crane Vehicle,Akçalar Mh.,0.4453968508843078,1
2025-12-19,3286,Large Garbage Truck,19 Mayis Mh.,0.4296302468560767,0
2025-12-19,2679,Large Garbage Truck,Ertuğrul Mh.,0.4233317347956321,0
2025-12-19,1520,Crane Vehicle,Bariş Mh.,0.4080997581514307,1
2025-12-19,2679,Large Garbage Truck,Işiktepe Mh.,0.3904709660101533,0
2025-12-19,9935,Large Garbage Truck,Cumhuri̇yet Mh.,0.3060217267220619,0
2025-12-19,6514,Small Garbage Truck,Gümüştepe Mh.,0.2742776003758373,0
2025-12-19,9935,Large Garbage Truck,Yaylacik Mh.,0.2221983729755439,0
2025-12-19,9935,Large Garbage Truck,Kayapa Mh.,0.2195420473092252,0
2025-12-19,9935,Large Garbage Truck,Karaman Mh.,0.2134097436145476,0
2025-12-19,2424,Large Garbage Truck,Özlüce Mh.,0.2071637331873661,0
2025-12-19,2424,Large Garbage Truck,Ürünlü Mh.,0.19524637382572,0
2025-12-19,2424,Large Garbage Truck,Odunluk Mh.,0.1549739304936958,0
2025-12-19,5333,Small Garbage Truck,Hasanağa Mh.,0.1376963364062833,0
2025-12-19,2424,Large Garbage Truck,Büyükbalikli Mh.,0.1342447373607187,0
2025-12-19,2424,Large Garbage Truck,Gökçe Mh.,0.1183849600977331,0
2025-12-19,1488,Large Garbage Truck,Atlas Mh.,0.1149861712768279,0
2025-12-19,1488,Large Garbage Truck,İrfani̇ye Mh.,0.0977176369162517,0
2025-12-19,1488,Large Garbage Truck,Badirga Mh.,0.0949999504654193,0
2025-12-19,1488,Large Garbage Truck,Karacaoba Mh.,0.0921311028403266,0
2025-12-19,1488,Large Garbage Truck,Başköy Mh.,0.0856330580165026,0
2025-12-19,1488,Large Garbage Truck,Konakli Mh.,0.0785591071688843,0
2025-12-19,1488,Large Garbage Truck,Çayli Mh.,0.0764092669475624,0
2025-12-19,1488,Large Garbage Truck,Tahtali Mh.,0.074666089312811,0
2025-12-19,1488,Large Garbage Truck,Çatalağil Mh.,0.0550405375396522,0
2025-12-19,1434,Large Garbage Truck,İnegazi̇ Mh.,0.0376557043472374,0
2025-12-19,1434,Large Garbage Truck,Kadri̇ye Mh.,0.0333507126703768,0
2025-12-19,1434,Large Garbage Truck,Üçpinar Mh.,0.0268502620180491,0
2025-12-19,2535,Crane Vehicle,30 Ağustos Mh.,0.0,1
2025-12-19,1434,Large Garbage Truck,Alaadi̇nbey Mh.,0.0,0
2025-12-20,2824,Large Garbage Truck,Görükle Mh.,1.0,0
2025-12-20,4657,Crane Vehicle,Balat Mh.,0.8427955576149866,1
2025-12-20,1520,Crane Vehicle,Ataevler Mh.,0.7371619360251879,1
2025-12-20,1520,Crane Vehicle,Balkan Mh.,0.7327681744354315,1
2025-12-20,2535,Crane Vehicle,23 Ni̇san Mh.,0.6506293199795582,1
2025-12-20,7912,Small Garbage Truck,Kültür Mh.,0.6344961591410876,0
2025-12-20,1409,Large Garbage Truck,Kültür Mh.,0.6344961591410876,0
2025-12-20,1409,Large Garbage Truck,Kültür Mh.,0.6344961591410876,0
2025-12-20,6574,Small Garbage Truck,Kültür Mh.,0.6344961591410876,0
2025-12-20,6514,Small Garbage Truck,Esentepe Mh.,0.5986364207955122,0
2025-12-20,2535,Crane Vehicle,İhsani̇ye Mh.,0.5410099752796164,1
2025-12-20,5506,Large Garbage Truck,Dumlupinar Mh.,0.5392034770574226,0
2025-12-20,4582,Crane Vehicle,Demi̇rci̇ Mh.,0.5383415719073583,1
2025-12-20,5506,Large Garbage Truck,Fethi̇ye Mh.,0.5132512884057444,0
2025-12-20,5012,Large Garbage Truck,Konak Mh.,0.4687289515176173,0
2025-12-20,5012,Large Garbage Truck,Mi̇nareli̇çavuş Mh.,0.3833754682945864,0
2025-12-20,3286,Large Garbage Truck,Ahmet Yesevi̇ Mh.,0.3401944179723152,0
2025-12-20,3286,Large Garbage Truck,Çamlica Mh.,0.3279556666102943,0
2025-12-20,5333,Small Garbage Truck,Gümüştepe Mh.,0.2742776003758373,0
2025-12-20,3286,Large Garbage Truck,Kizilcikli Mh.,0.2527762888390717,0
2025-12-20,2679,Large Garbage Truck,Kurtuluş Mh.,0.2491487446301427,0
2025-12-20,2679,Large Garbage Truck,Doğanköy Mh.,0.138985568603334,0
2025-12-20,2679,Large Garbage Truck,Dağyeni̇ce Mh.,0.1386399038283848,0
2025-12-20,2679,Large Garbage Truck,Hasanağa Mh.,0.1376963364062833,0
2025-12-20,2679,Large Garbage Truck,Güngören Mh.,0.124078572120663,0
2025-12-20,9935,Large Garbage Truck,Fadilli Mh.,0.1123540475439963,0
2025-12-20,9935,Large Garbage Truck,Yolçati Mh.,0.1117944195414855,0
2025-12-20,9935,Large Garbage Truck,Unçukuru Mh.,0.0770792355514275,0
2025-12-20,4582,Crane Vehicle,Beşevler Mh.,0.0735193755718485,1
2025-12-20,9935,Large Garbage Truck,Korubaşi Mh.,0.0653751182631657,0
2025-12-20,4582,Crane Vehicle,Altinşehi̇r Mh.,0.0576438259169127,1
2025-12-20,9935,Large Garbage Truck,Ayvaköy Mh.,0.0303214480367227,0
2025-12-20,9935,Large Garbage Truck,Kuruçeşme Mh.,0.0247017211099782,0
2025-12-20,9935,Large Garbage Truck,Maksempinar Mh.,0.0214963669470393,0
2025-12-21,2824,Large Garbage Truck,Görükle Mh.,1.0,0
2025-12-21,1409,Large Garbage Truck,Dumlupinar Mh.,0.5392034770574226,0
2025-12-22,2824,Large Garbage Truck,Görükle Mh.,1.0,0
2025-12-22,4657,Crane Vehicle,Çali Mh.,0.7137262835145524,1
2025-12-22,7912,Small Garbage Truck,Üçevler Mh.,0.6828035790366359,0
2025-12-22,6574,Small Garbage Truck,Üçevler Mh.,0.6828035790366359,0
2025-12-22,1409,Large Garbage Truck,Üçevler Mh.,0.6828035790366359,0
2025-12-22,1409,Large Garbage Truck,Üçevler Mh.,0.6828035790366359,0
2025-12-22,6514,Small Garbage Truck,Esentepe Mh.,0.5986364207955122,0
2025-12-22,5333,Small Garbage Truck,Esentepe Mh.,0.5986364207955122,0
2025-12-22,5506,Large Garbage Truck,Esentepe Mh.,0.5986364207955122,0
2025-12-22,5506,Large Garbage Truck,Esentepe Mh.,0.5986364207955122,0
2025-12-22,4657,Crane Vehicle,İhsani̇ye Mh.,0.5410099752796164,1
2025-12-22,5012,Large Garbage Truck,Dumlupinar Mh.,0.5392034770574226,0
2025-12-22,5012,Large Garbage Truck,Fethi̇ye Mh.,0.5132512884057444,0
2025-12-22,3286,Large Garbage Truck,Konak Mh.,0.4687289515176173,0
2025-12-22,1520,Crane Vehicle,Akçalar Mh.,0.4453968508843078,1
2025-12-22,3286,Large Garbage Truck,19 Mayis Mh.,0.4296302468560767,0
2025-12-22,2679,Large Garbage Truck,Ertuğrul Mh.,0.4233317347956321,0
2025-12-22,1520,Crane Vehicle,Bariş Mh.,0.4080997581514307,1
2025-12-22,2679,Large Garbage Truck,Işiktepe Mh.,0.3904709660101533,0
2025-12-22,9935,Large Garbage Truck,Cumhuri̇yet Mh.,0.3060217267220619,0
2025-12-22,6514,Small Garbage Truck,Gümüştepe Mh.,0.2742776003758373,0
