date,vehicle_id,vehicle_type,Mahalle,demand_score,crane_needed
2025-12-19,2824,Large Garbage Truck,Gorukle Mh.,1.0,0
2025-12-19,4657,Crane Vehicle,Cali Mh.,0.7137262835145524,1
2025-12-19,7912,Small Garbage Truck,Ucevler Mh.,0.6828035790366359,0
2025-12-19,6574,Small Garbage Truck,Ucevler Mh.,0.6828035790366359,0
2025-12-19,1409,Large Garbage Truck,Ucevler Mh.,0.6828035790366359,0
2025-12-19,1409,Large Garbage Truck,Ucevler Mh.,0.6828035790366359,0
2025-12-19,6514,Small Garbage Truck,Esentepe Mh.,0.5986364207955122,0
2025-12-19,5333,Small Garbage Truck,Esentepe Mh.,0.5986364207955122,0
2025-12-19,5506,Large Garbage Truck,Esentepe Mh.,0.5986364207955122,0
2025-12-19,5506,Large Garbage Truck,Esentepe Mh.,0.5986364207955122,0
2025-12-19,4657,Crane Vehicle,Ihsani̇ye Mh.,0.5410099752796164,1
2025-12-19,5012,Large Garbage Truck,Dumlupinar Mh.,0.5392034770574226,0
2025-12-19,5012,Large Garbage Truck,Fethi̇ye Mh.,0.5132512884057444,0
2025-12-19,3286,Large Garbage Truck,Konak Mh.,0.4687289515176173,0
2025-12-19,1520,Crane Vehicle,Akcalar Mh.,0.4453968508843078,1
2025-12-19,3286,Large Garbage Truck,19 Mayis Mh.,0.4296302468560767,0
2025-12-19,2679,Large Garbage Truck,Ertugrul Mh.,0.4233317347956321,0
2025-12-19,1520,Crane Vehicle,Baris Mh.,0.4080997581514307,1
2025-12-19,2679,Large Garbage Truck,Isiktepe Mh.,0.3904709660101533,0
2025-12-19,9935,Large Garbage Truck,Cumhuri̇yet Mh.,0.3060217267220619,0
2025-12-19,6514,Small Garbage Truck,Gumustepe Mh.,0.2742776003758373,0
2025-12-19,9935,Large Garbage Truck,Yaylacik Mh.,0.2221983729755439,0
2025-12-19,9935,Large Garbage Truck,Kayapa Mh.,0.2195420473092252,0
2025-12-19,9935,Large Garbage Truck,Karaman Mh.,0.2134097436145476,0
2025-12-19,2424,Large Garbage Truck,Ozluce Mh.,0.2071637331873661,0
2025-12-19,2424,Large Garbage Truck,Urunlu Mh.,0.19524637382572,0
2025-12-19,2424,Large Garbage Truck,Odunluk Mh.,0.1549739304936958,0
2025-12-19,5333,Small Garbage Truck,Hasanaga Mh.,0.1376963364062833,0
