date,vehicle_id,vehicle_type,stop_order,Mahalle,latitude,longitude,distance_from_prev_km
2025-11-26,4611,UNKNOWN,1,Duran,40.190269,28.930986,0.0
2025-11-26,9935,UNKNOWN,1,Duran,40.190144,28.930777,0.0
2025-11-26,9935,UNKNOWN,2,Duran,40.190285,28.930882,0.018
2025-11-26,9935,UNKNOWN,3,Duran,40.212727,28.93626,2.537
2025-11-26,9935,UNKNOWN,4,Duran,40.214909,28.931983,0.437
2025-11-26,9935,UNKNOWN,5,Duran,40.214348,28.930735,0.123
2025-11-26,9935,UNKNOWN,6,Duran,40.21344,28.929255,0.161
2025-11-26,9935,UNKNOWN,7,Duran,40.215084,28.928606,0.191
2025-11-26,9935,UNKNOWN,8,Duran,40.219772,28.923609,0.672
2025-11-26,9935,UNKNOWN,9,Duran,40.21965,28.917334,0.533
2025-11-26,9935,UNKNOWN,10,Duran,40.218927,28.915867,0.148
2025-11-26,9935,UNKNOWN,11,Duran,40.212345,28.911366,0.826
2025-11-26,9935,UNKNOWN,12,Duran,40.212643,28.907103,0.364
2025-11-26,9935,UNKNOWN,13,Duran,40.21349,28.906143,0.125
2025-11-27,9935,UNKNOWN,1,Duran,40.190277,28.931253,0.0
2025-11-27,9935,UNKNOWN,2,Duran,40.204849,28.949892,2.265
2025-11-27,9935,UNKNOWN,3,Duran,40.209625,28.953154,0.599
2025-11-27,9935,UNKNOWN,4,Duran,40.2091785,28.953251,0.05
2025-11-27,9935,UNKNOWN,5,Duran,40.208073,28.953268,0.123
2025-11-27,9935,UNKNOWN,6,Duran,40.2066575,28.954941,0.212
2025-11-27,9935,UNKNOWN,7,Duran,40.2047385,28.9587735,0.389
2025-11-27,9935,UNKNOWN,8,Duran,40.2068905,28.9607665,0.293
2025-11-27,9935,UNKNOWN,9,Duran,40.206158,28.9629,0.199
2025-11-27,9935,UNKNOWN,10,Duran,40.207052,28.964239,0.151
2025-11-27,9935,UNKNOWN,11,Duran,40.2099935,28.9638215,0.329
2025-11-27,9935,UNKNOWN,12,Duran,40.209913,28.961031,0.237
2025-11-28,9935,UNKNOWN,1,Duran,40.190266,28.930719,0.0
2025-11-28,9935,UNKNOWN,2,Duran,40.204296,28.949663,2.241
2025-11-29,9935,UNKNOWN,1,Duran,40.19006,28.930782,0.0
2025-11-29,9935,UNKNOWN,2,Duran,40.209152,28.953709,2.881
2025-11-29,9935,UNKNOWN,3,Duran,40.209427,28.955194,0.13
2025-11-29,9935,UNKNOWN,4,Duran,40.2090515,28.9587995,0.309
2025-11-29,9935,UNKNOWN,5,Duran,40.209564,28.9601145,0.125
2025-11-29,9935,UNKNOWN,6,Duran,40.20787,28.960022,0.189
2025-11-29,9935,UNKNOWN,7,Duran,40.204441,28.958652,0.399
2025-11-29,9935,UNKNOWN,8,Duran,40.2061765,28.9605565,0.252
2025-11-29,9935,UNKNOWN,9,Duran,40.207062,28.96398,0.307
2025-11-30,9935,UNKNOWN,1,Duran,40.190334,28.930809,0.0
2025-11-30,9935,UNKNOWN,2,Duran,40.205149,28.954215,2.582
2025-11-30,9935,UNKNOWN,3,Duran,40.209171,28.953283,0.454
2025-11-30,9935,UNKNOWN,4,Duran,40.208273,28.958867,0.485
2025-11-30,9935,UNKNOWN,5,Duran,40.20957,28.9603455,0.191
2025-11-30,9935,UNKNOWN,6,Duran,40.2078095,28.9631775,0.31
2025-11-30,9935,UNKNOWN,7,Duran,40.206299,28.960989,0.251
2025-12-01,9935,UNKNOWN,1,Duran,40.190323,28.930895,0.0
2025-12-01,9935,UNKNOWN,2,Duran,40.212631,28.93635,2.523
2025-12-01,9935,UNKNOWN,3,Duran,40.2147485,28.932453,0.406
