date,vehicle_id,vehicle_type,stops,total_distance_km
2025-11-26,4611,UNKNOWN,1,0.0
2025-11-26,9935,UNKNOWN,13,6.13
2025-11-27,9935,UNKNOWN,12,4.85
2025-11-28,9935,UNKNOWN,2,2.24
2025-11-29,9935,UNKNOWN,9,4.59
2025-11-30,9935,UNKNOWN,7,4.27
2025-12-01,9935,UNKNOWN,11,6.12
2025-12-02,9935,UNKNOWN,2,2.1
2025-12-16,9935,UNKNOWN,1,0.0
2025-12-17,9935,UNKNOWN,1,0.0
2025-12-19,1106,UNKNOWN,15,4.57
2025-12-19,1409,UNKNOWN,1,0.0
2025-12-19,1434,UNKNOWN,17,14.38
2025-12-19,1488,UNKNOWN,8,6.31
2025-12-19,1520,UNKNOWN,2,0.05
2025-12-19,1711,UNKNOWN,4,18.51
2025-12-19,2291,UNKNOWN,5,11.28
2025-12-19,2424,UNKNOWN,11,13.85
2025-12-19,2519,UNKNOWN,6,10.93
2025-12-19,2535,UNKNOWN,6,23.45
2025-12-19,2584,UNKNOWN,16,11.65
2025-12-19,2674,UNKNOWN,10,10.6
2025-12-19,2679,UNKNOWN,8,8.39
2025-12-19,2824,UNKNOWN,12,14.27
2025-12-19,3045,UNKNOWN,8,5.94
2025-12-19,3286,UNKNOWN,9,13.78
2025-12-19,3547,UNKNOWN,11,10.16
2025-12-19,3615,UNKNOWN,17,33.56
2025-12-19,4257,UNKNOWN,15,22.76
2025-12-19,4527,UNKNOWN,9,10.27
2025-12-19,4582,UNKNOWN,7,12.27
2025-12-19,4657,UNKNOWN,2,0.01
2025-12-19,4811,UNKNOWN,5,9.76
2025-12-19,5012,UNKNOWN,7,21.73
2025-12-19,5333,UNKNOWN,9,8.61
2025-12-19,5506,UNKNOWN,8,7.64
2025-12-19,5552,UNKNOWN,11,8.18
2025-12-19,5557,UNKNOWN,7,19.82
2025-12-19,5803,UNKNOWN,9,7.7
2025-12-19,6514,UNKNOWN,7,11.52
2025-12-19,6574,UNKNOWN,23,21.54
2025-12-19,6635,UNKNOWN,11,7.38
2025-12-19,6881,UNKNOWN,7,5.57
2025-12-19,7201,UNKNOWN,7,7.58
2025-12-19,7224,UNKNOWN,3,0.31
2025-12-19,7873,UNKNOWN,5,17.65
2025-12-19,7912,UNKNOWN,16,10.79
2025-12-19,7924,UNKNOWN,19,25.85
