date,vehicles,stops_used,opt_km,baseline_alpha_km,baseline_random_mean_km,savings_vs_alpha_km,savings_vs_random_mean_km,savings_vs_alpha_pct,savings_vs_random_mean_pct,saved_km,l_per_km,fuel_saved_liters,co2_saved_kg,co2_saved_ton
2025-11-26,2,14,6.134,12.725,19.91,6.592,13.776,51.80353634577602,69.19136112506278,6.591,0.4,2.636,7.066,0.007066
2025-11-27,1,12,4.848,8.193,11.168,3.346,6.321,40.839741242524106,56.59921203438395,3.345,0.4,1.338,3.586,0.003586
2025-11-28,1,2,2.241,2.241,2.241,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
2025-11-29,1,9,4.591,4.911,8.458,0.32,3.867,6.515984524536755,45.72002837550248,0.32,0.4,0.128,0.343,0.000343
2025-11-30,1,7,4.272,4.877,7.184,0.605,2.912,12.40516711092885,40.53452115812917,0.605,0.4,0.242,0.649,0.000649
2025-12-01,1,11,6.12,10.855,13.295,4.734,7.175,43.61123906034086,53.967657013915,4.735,0.4,1.894,5.076,0.005076
2025-12-02,1,2,2.099,2.099,2.099,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
2025-12-16,1,1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.4,0.0,0.0,0.0
2025-12-17,1,1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.4,0.0,0.0,0.0
2025-12-19,43,388,489.404,634.464,1210.647,145.062,721.245,22.86370857921017,59.57516931029442,145.06,0.4,58.024,155.504,0.155504
2025-12-20,42,403,546.305,729.269,1414.783,182.969,868.482,25.089370314657558,61.3862337899169,182.964,0.4,73.186,196.137,0.196137
2025-12-21,18,115,223.831,324.525,431.716,100.695,207.888,31.02842616131269,48.15387893893208,100.694,0.4,40.278,107.944,0.107944
2025-12-22,43,486,578.101,755.516,1455.082,177.417,876.982,23.4828911631256,60.27028030035421,177.415,0.4,70.966,190.189,0.190189
2025-12-23,42,441,587.982,732.965,1511.505,144.981,923.525,19.780071354020997,61.09969864472826,144.983,0.4,57.993,155.422,0.155422
2025-12-24,43,371,506.474,707.196,1241.677,200.722,735.204,28.382796282784405,59.21056764359813,200.722,0.4,80.289,215.174,0.215174
2025-12-25,30,77,103.253,133.449,159.962,30.197,56.712,22.628120105808208,35.45342018729449,30.196,0.4,12.078,32.37,0.03237
