date,vehicle_id,vehicle_type,stop_order,Mahalle,latitude,longitude,distance_from_prev_km
2025-12-19,1409,Large Garbage Truck,1,Ucevler Mh.,40.1998565,28.947401,0.0
2025-12-19,1409,Large Garbage Truck,2,Ucevler Mh.,40.1998565,28.947401,0.0
2025-12-19,1434,Large Garbage Truck,1,Alaaddinbey Mh.,40.2086475,28.92314448,0.0
2025-12-19,1434,Large Garbage Truck,2,Kadriye Mh.,40.09270964374126,28.86816272078864,13.713
2025-12-19,1434,Large Garbage Truck,3,Ucpinar Mh.,40.1029799833047,28.840132581273483,2.644
2025-12-19,1488,Large Garbage Truck,1,Atlas Mh.,40.12221097784862,28.8869401429014,0.0
2025-12-19,1488,Large Garbage Truck,2,Badirga Mh.,40.2469685,28.69442244,21.445
2025-12-19,1488,Large Garbage Truck,3,Baskoy Mh.,40.21226591331904,28.74959897704878,6.069
2025-12-19,1488,Large Garbage Truck,4,Catalagil Mh.,40.21763428660456,28.70559812927568,3.784
2025-12-19,1488,Large Garbage Truck,5,Cayli Mh.,40.27456808640988,28.74523837386844,7.169
2025-12-19,1488,Large Garbage Truck,6,Irfaniye Mh.,40.23388919234314,28.815429137902697,7.479
2025-12-19,1488,Large Garbage Truck,7,Karacaoba Mh.,40.21613802,28.7253189,7.901
2025-12-19,1488,Large Garbage Truck,8,Konakli Mh.,40.255981965,28.75887162,5.267
2025-12-19,1488,Large Garbage Truck,9,Tahtali Mh.,40.17589430675844,28.87803875512328,13.479
2025-12-19,1520,Crane Vehicle,1,Akcalar Mh.,40.177273005,28.745869499999998,0.0
2025-12-19,1520,Crane Vehicle,2,Baris Mh.,40.21484690018117,28.96793964,19.319
2025-12-19,2424,Large Garbage Truck,1,Buyukbalikli Mh.,40.25153798696729,28.77348904965977,0.0
2025-12-19,2424,Large Garbage Truck,2,Gokce Mh.,40.24440138235362,28.799752338168982,2.366
2025-12-19,2424,Large Garbage Truck,3,Odunluk Mh.,40.19722207465857,28.993322841722343,17.252
2025-12-19,2424,Large Garbage Truck,4,Ozluce Mh.,40.238122995,28.90681038,8.64
2025-12-19,2424,Large Garbage Truck,5,Urunlu Mh.,40.20521165622157,28.87767648,4.417
2025-12-19,2679,Large Garbage Truck,1,Ertugrul Mh.,40.215869,28.922958,0.0
2025-12-19,2679,Large Garbage Truck,2,Isiktepe Mh.,40.227808005,28.959113464086524,3.344
2025-12-19,2824,Large Garbage Truck,1,Gorukle Mh.,40.230138960000005,28.843193880000005,0.0
2025-12-19,3286,Large Garbage Truck,1,19 Mayis Mh.,40.22815111103005,28.89571652797528,0.0
2025-12-19,3286,Large Garbage Truck,2,Konak Mh.,40.207302495,28.98297846,7.763
2025-12-19,4657,Crane Vehicle,1,Cali Mh.,40.169764264690606,28.9191425,0.0
2025-12-19,4657,Crane Vehicle,2,Ihsaniye Mh.,40.219369,28.985114000000003,7.863
2025-12-19,5012,Large Garbage Truck,1,Dumlupinar Mh.,40.223566485,28.8378875,0.0
