date,vehicle_id,vehicle_type,stops_used,opt_km,baseline_alpha_km,savings_vs_alpha_km,savings_vs_alpha_pct,baseline_random_mean_km,baseline_random_p10_km,baseline_random_p90_km,savings_vs_random_mean_km,savings_vs_random_mean_pct,random_iters,random_seed
2025-11-26,4611,UNKNOWN,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,50,42
2025-11-26,9935,UNKNOWN,13,6.134,12.725,6.592,51.8,19.91,16.75,23.518,13.776,69.19,50,42
2025-11-27,9935,UNKNOWN,12,4.848,8.193,3.346,40.83,11.168,9.052,12.78,6.321,56.59,50,42
2025-11-28,9935,UNKNOWN,2,2.241,2.241,0.0,0.0,2.241,2.241,2.241,0.0,0.0,50,42
2025-11-29,9935,UNKNOWN,9,4.591,4.911,0.32,6.52,8.458,6.698,9.3,3.867,45.72,50,42
2025-11-30,9935,UNKNOWN,7,4.272,4.877,0.605,12.4,7.184,5.278,8.559,2.912,40.53,50,42
2025-12-01,9935,UNKNOWN,11,6.12,10.855,4.734,43.62,13.295,11.659,15.171,7.175,53.97,50,42
2025-12-02,9935,UNKNOWN,2,2.099,2.099,0.0,0.0,2.099,2.099,2.099,0.0,0.0,50,42
2025-12-16,9935,UNKNOWN,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,50,42
2025-12-17,9935,UNKNOWN,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,50,42
2025-12-19,1106,UNKNOWN,15,4.568,6.983,2.416,34.59,15.528,13.483,17.997,10.96,70.58,50,42
2025-12-19,1409,UNKNOWN,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,50,42
2025-12-19,1434,UNKNOWN,17,14.376,37.583,23.207,61.75,46.917,37.781,55.38,32.541,69.36,50,42
2025-12-19,1488,UNKNOWN,8,6.307,10.847,4.539,41.85,13.288,10.188,15.783,6.981,52.53,50,42
2025-12-19,1520,UNKNOWN,2,0.053,0.053,0.0,0.0,0.053,0.053,0.053,-0.0,-0.0,50,42
2025-12-19,1711,UNKNOWN,4,18.512,25.424,6.911,27.18,28.142,18.951,35.985,9.629,34.22,50,42
2025-12-19,2291,UNKNOWN,5,11.276,11.276,0.0,0.0,18.955,11.608,21.982,7.68,40.51,50,42
2025-12-19,2424,UNKNOWN,11,13.847,13.981,0.133,0.95,33.017,27.006,38.505,19.17,58.06,50,42
2025-12-19,2519,UNKNOWN,6,10.926,10.926,0.0,0.0,19.075,14.422,22.321,8.149,42.72,50,42
2025-12-19,2535,UNKNOWN,6,23.452,24.756,1.304,5.27,41.695,31.476,51.035,18.243,43.75,50,42
2025-12-19,2584,UNKNOWN,16,11.651,13.665,2.015,14.74,69.148,53.236,84.176,57.497,83.15,50,42
2025-12-19,2674,UNKNOWN,10,10.603,11.188,0.585,5.23,19.893,13.637,22.31,9.291,46.7,50,42
2025-12-19,2679,UNKNOWN,8,8.386,9.026,0.64,7.09,15.698,10.696,18.517,7.312,46.58,50,42
2025-12-19,2824,UNKNOWN,12,14.269,14.618,0.35,2.39,35.011,29.914,40.377,20.742,59.25,50,42
2025-12-19,3045,UNKNOWN,8,5.944,5.944,0.0,0.0,16.276,11.565,21.782,10.332,63.48,50,42
2025-12-19,3286,UNKNOWN,9,13.778,13.968,0.19,1.36,27.974,20.098,36.46,14.196,50.75,50,42
2025-12-19,3547,UNKNOWN,11,10.159,20.703,10.544,50.93,29.463,24.796,34.765,19.303,65.52,50,42
2025-12-19,3615,UNKNOWN,17,33.559,49.042,15.483,31.57,84.454,74.361,94.307,50.895,60.26,50,42
2025-12-19,4257,UNKNOWN,15,22.761,45.38,22.619,49.84,80.483,59.688,98.478,57.722,71.72,50,42
2025-12-19,4527,UNKNOWN,9,10.269,10.767,0.499,4.63,20.342,15.663,24.911,10.073,49.52,50,42
2025-12-19,4582,UNKNOWN,7,12.274,12.265,-0.009,-0.08,23.562,18.174,29.892,11.287,47.91,50,42
2025-12-19,4657,UNKNOWN,2,0.007,0.007,0.0,0.0,0.007,0.007,0.007,0.0,0.0,50,42
2025-12-19,4811,UNKNOWN,5,9.762,10.556,0.794,7.52,21.986,10.993,28.753,12.224,55.6,50,42
2025-12-19,5012,UNKNOWN,7,21.727,22.864,1.137,4.97,35.103,29.366,41.184,13.377,38.11,50,42
2025-12-19,5333,UNKNOWN,9,8.608,8.985,0.377,4.19,16.138,12.097,18.229,7.53,46.66,50,42
2025-12-19,5506,UNKNOWN,8,7.636,8.23,0.594,7.22,12.679,8.469,14.623,5.043,39.77,50,42
2025-12-19,5552,UNKNOWN,11,8.178,8.987,0.81,9.01,26.722,20.392,32.19,18.545,69.4,50,42
2025-12-19,5557,UNKNOWN,7,19.822,25.503,5.681,22.28,56.913,40.983,76.856,37.091,65.17,50,42
2025-12-19,5803,UNKNOWN,9,7.697,13.131,5.434,41.38,21.765,16.64,27.029,14.068,64.64,50,42
2025-12-19,6514,UNKNOWN,7,11.518,11.518,0.0,0.0,25.723,18.071,31.77,14.205,55.22,50,42
2025-12-19,6574,UNKNOWN,23,21.537,29.745,8.208,27.6,78.146,62.301,89.549,56.61,72.44,50,42
2025-12-19,6635,UNKNOWN,11,7.378,8.285,0.907,10.95,22.564,14.995,27.477,15.186,67.3,50,42
2025-12-19,6881,UNKNOWN,7,5.566,6.158,0.592,9.61,15.953,11.019,20.043,10.387,65.11,50,42
2025-12-19,7201,UNKNOWN,7,7.583,7.59,0.006,0.08,14.048,10.614,17.328,6.464,46.02,50,42
2025-12-19,7224,UNKNOWN,3,0.313,0.308,-0.005,-1.74,0.368,0.308,0.515,0.055,14.85,50,42
2025-12-19,7873,UNKNOWN,5,17.646,17.675,0.029,0.17,29.755,24.395,36.966,12.109,40.7,50,42
